sample,sex,sow,dg,group,group.order,lt,date,time,testday,context,cort_ngml,plate.name
7,m,6188,DG-4,F,2,48,2-Dec-20,11:43,Baseline2,Baseline,4.208,Petra Cort 15.06.21
7,m,6188,DG-4,F,1,50,4-Dec-20,08:20,Baseline2,Baseline,6.47,Petra Cort 16.06.21
7,m,6188,DG-4,F,1,53,7-Dec-20,09:10,Baseline2,Baseline,4.597,Petra Cort 16.06.21
7,m,6235,DG-5,W,1,35,21. Jan 21,08:48,Play,Play,9.112,Petra_Cort_28.04.21
7,m,6235,DG-5,W,1,36,22. Jan 21,08:43,Baseline1,Baseline,8.493,Petra_Cort_28.04.21
7,m,6235,DG-5,W,2,48,03. Feb 21,11:42,Baseline2,Baseline,5.812,Petra Cort 22.06.21
7,m,6235,DG-5,W,1,50,05. Feb 21,08:25,Baseline2,Baseline,3.849,Petra Cort 22.06.21
7,m,6235,DG-5,W,1,53,08. Feb 21,08:10,Baseline2,Baseline,7.946,Petra Cort 22.06.21
7,m,6235,DG-5,W,2,62,17. Feb 21,09:12,Baseline3,Baseline,6.727,Petra.Cort.01.06.21
7,m,6235,DG-5,W,2,62,17. Feb 21,09:38,Separation,Separation,13.116,Petra.Cort.01.06.21
7,m,6235,DG-5,W,2,62,17. Feb 21,09:57,Reunion,Reunion,8.746,Petra.Cort.01.06.21
7,m,6310,DG-4,W,1,35,19. Nov 20,08:34,Play,Play,9.473,Petra_Cort_12.04.21
7,m,6310,DG-4,W,2,62,16-Dec-20,10:03,Baseline3,Baseline,4.21,Petra Cort 31.05.21
7,m,6310,DG-4,W,2,62,16-Dec-20,10:29,Separation,Separation,8.197,Petra Cort 31.05.21
7,m,6310,DG-4,W,2,62,16-Dec-20,10:48,Reunion,Reunion,6.229,Petra Cort 31.05.21
7,m,6310,DG-4,W,2,49,3-Dec-20,10:50,Baseline2,Baseline,4.731,Petra Cort 16.06.21
7,m,6369,DG-3,F,1,62,04. Nov 20,08:25,Baseline3,Baseline,5.597,Petra Cort 11.05.21
7,m,6369,DG-3,F,1,62,04. Nov 20,08:54,Separation,Separation,8.914,Petra Cort 11.05.21
7,m,6369,DG-3,F,1,62,04. Nov 20,09:12,Reunion,Reunion,10.805,Petra Cort 11.05.21
7,m,6369,DG-3,F,2,28,1-Oct-20,09:04,Weaning,Weaning,11.512,Petra_Cort_07.04.21
7,m,6369,DG-3,F,1,48,21-Oct-20,08:25,Baseline2,Baseline,1.465,Petra Cort 14.06.21
7,m,6369,DG-3,F,1,50,23-Oct-20,08:25,Baseline2,Baseline,4.182,Petra Cort 14.06.21
7,m,6369,DG-3,F,2,36,9-Oct-20,09:48,Baseline1,Baseline,8.14,Petra_Cort_28.04.21
7,m,6407,DG-5,F,2,28,14. Jan 21,09:25,Weaning,Weaning,20.457,Petra_Cort_16.04.21
7,m,6407,DG-5,F,2,35,21. Jan 21,09:43,Play,Play,8.898,Petra_Cort_16.04.21
7,m,6407,DG-5,F,2,36,22. Jan 21,09:47,Baseline1,Baseline,11.88,Petra_Cort_16.04.21
7,m,6407,DG-5,F,1,47,02. Feb 21,08:40,Baseline2,Baseline,6.742,Petra Cort 21.06.21
7,m,6407,DG-5,F,1,50,05. Feb 21,08:30,Baseline2,Baseline,7.096,Petra Cort 21.06.21
7,m,6407,DG-5,F,1,64,19. Feb 21,08:27,Baseline3,Baseline,15.49,Petra.Cort.01.06.21
7,m,6407,DG-5,F,1,64,19. Feb 21,08:56,Separation,Separation,12.699,Petra.Cort.01.06.21
7,m,6407,DG-5,F,1,64,19. Feb 21,09:15,Reunion,Reunion,9.732,Petra Cort 03.06.21
8,f,5764,DG-2,W,1,28,20. Aug 20,08:35,Weaning,Weaning,8.923,PM_Cort_19.02.21
8,f,5764,DG-2,W,1,35,27. Aug 20,08:41,Play,Play,10.644,PM_Cort_19.02.21
8,f,5764,DG-2,W,1,36,28. Aug 20,08:43,Baseline1,Baseline,7.433,Petra_Cort_07.04.21
8,f,5764,DG-2,W,1,47,08. Sep 20,08:16,Baseline2,Baseline,4.242,Petra Cort 11.06.21
8,f,5764,DG-2,W,2,48,09. Sep 20,11:00,Baseline2,Baseline,3.401,Petra Cort 11.06.21
8,f,5764,DG-2,W,2,63,24. Sep 20,10:58,Baseline3,Baseline,2.226,Petra Cort 14.05.21
8,f,5764,DG-2,W,2,63,24. Sep 20,11:24,Separation,Separation,2.798,Petra Cort 14.05.21
8,f,5764,DG-2,W,2,63,24. Sep 20,11:45,Reunion,Reunion,8.73,Petra Cort 14.05.21
8,f,5764,DG-2,W,1,49,9-Oct-20,08:27,Baseline2,Baseline,6.877,Petra Cort 11.06.21
8,m,5952,DG-2,F,2,36,28. Aug 20,09:17,Baseline1,Baseline,5.144,Petra_Cort_07.04.21
8,m,5952,DG-2,F,2,61,22. Sep 20,11:41,Baseline3,Baseline,6.042,Petra_Cort_29.04.21
8,m,5952,DG-2,F,2,61,22. Sep 20,12:08,Separation,Separation,9.066,Petra_Cort_29.04.21
8,m,5952,DG-2,F,2,61,22. Sep 20,12:27,Reunion,Reunion,9.082,Petra_Cort_29.04.21
8,m,5952,DG-2,F,2,49,9-Oct-20,10:26,Baseline2,Baseline,5.382,Petra Cort 09.06.21
8,m,6073,DG-3,W,2,63,05. Nov 20,09:58,Baseline3,Baseline,4.118,Petra_Cort_07.04.21
8,m,6073,DG-3,W,2,63,05. Nov 20,10:22,Separation,Separation,4.467,Petra Cort 14.05.21
8,m,6073,DG-3,W,2,63,05. Nov 20,10:40,Reunion,Reunion,3.603,Petra Cort 14.05.21
8,m,6073,DG-3,W,1,28,1-Oct-20,08:43,Weaning,Weaning,9.25,Petra_Cort_07.04.21
8,m,6073,DG-3,W,1,49,22-Oct-20,08:25,Baseline2,Baseline,3.067,Petra Cort 15.06.21
8,f,6188,DG-4,F,2,28,12. Nov 20,09:24,Weaning,Weaning,12.519,Petra_Cort_15.04.21
8,f,6188,DG-4,F,2,35,19. Nov 20,10:03,Play,Play,8.958,Petra_Cort_15.04.21
8,f,6188,DG-4,F,2,36,20. Nov 20,09:41,Baseline1,Baseline,9.772,Petra_Cort_15.04.21
8,f,6188,DG-4,F,2,62,16-Dec-20,09:16,Baseline3,Baseline,7.235,Petra Cort 27.05.21
8,f,6188,DG-4,F,2,62,16-Dec-20,09:40,Separation,Separation,10.208,Petra Cort 27.05.21
8,f,6188,DG-4,F,2,62,16-Dec-20,10:03,Reunion,Reunion,7.665,Petra Cort 27.05.21
8,f,6188,DG-4,F,2,48,2-Dec-20,11:43,Baseline2,Baseline,6.159,Petra Cort 16.06.21
8,m,6235,DG-5,W,1,28,14. Jan 21,08:57,Weaning,Weaning,19.353,Petra_Cort_16.04.21
8,m,6235,DG-5,W,1,35,21. Jan 21,08:46,Play,Play,11.003,Petra_Cort_28.04.21
8,m,6235,DG-5,W,1,36,22. Jan 21,08:39,Baseline1,Baseline,8.649,Petra_Cort_28.04.21
8,m,6235,DG-5,W,2,46,01. Feb 21,11:15,Baseline2,Baseline,6.143,Petra Cort 22.06.21
8,m,6235,DG-5,W,2,60,15. Feb 21,10:50,Baseline3,Baseline,21.553,Petra.Cort.01.06.21
8,m,6235,DG-5,W,2,60,15. Feb 21,11:13,Separation,Separation,6.991,Petra.Cort.01.06.21
8,m,6235,DG-5,W,2,60,15. Feb 21,11:35,Reunion,Reunion,10.177,Petra.Cort.01.06.21
8,f,6310,DG-4,W,1,35,19. Nov 20,08:50,Play,Play,5.622,Petra_Cort_12.04.21
8,f,6310,DG-4,W,1,36,20. Nov 20,08:52,Baseline1,Baseline,9.244,Petra_Cort_12.04.21
8,f,6310,DG-4,W,2,64,18-Dec-20,10:19,Baseline3,Baseline,6.102,Petra Cort 31.05.21
8,f,6310,DG-4,W,2,64,18-Dec-20,10:47,Separation,Separation,16.943,Petra Cort 31.05.21
8,f,6310,DG-4,W,2,64,18-Dec-20,11:06,Reunion,Reunion,5.13,Petra Cort 31.05.21
8,f,6310,DG-4,W,1,50,4-Dec-20,08:15,Baseline2,Baseline,4.662,Petra Cort 12.07.21
8,m,6369,DG-3,F,2,63,05. Nov 20,09:12,Baseline3,Baseline,6.935,Petra Cort 11.05.21
8,m,6369,DG-3,F,2,63,05. Nov 20,09:38,Separation,Separation,14.436,Petra Cort 11.05.21
8,m,6369,DG-3,F,2,63,05. Nov 20,09:58,Reunion,Reunion,14.156,Petra Cort 11.05.21
8,m,6369,DG-3,F,2,49,22-Oct-20,10:58,Baseline2,Baseline,3.879,Petra Cort 14.06.21
8,m,6407,DG-5,F,2,28,14. Jan 21,09:16,Weaning,Weaning,9.529,Petra_Cort_16.04.21
8,m,6407,DG-5,F,2,35,21. Jan 21,09:46,Play,Play,7.745,Petra_Cort_16.04.21
8,m,6407,DG-5,F,2,36,22. Jan 21,09:43,Baseline1,Baseline,9.041,Petra_Cort_16.04.21
8,m,6407,DG-5,F,1,46,01. Feb 21,08:38,Baseline2,Baseline,4.998,Petra Cort 21.06.21
8,m,6407,DG-5,F,1,60,15. Feb 21,08:35,Baseline3,Baseline,4.644,Petra Cort 31.05.21
8,m,6407,DG-5,F,1,60,15. Feb 21,08:57,Separation,Separation,5.222,Petra Cort 31.05.21
8,m,6407,DG-5,F,1,60,15. Feb 21,09:20,Reunion,Reunion,3.261,Petra Cort 31.05.21
9,f,5764,DG-2,W,1,28,20. Aug 20,08:39,Weaning,Weaning,8.33,PM_Cort_19.02.21
9,f,5764,DG-2,W,2,48,09. Sep 20,11:06,Baseline2,Baseline,3.856,Petra Cort 11.06.21
9,f,5764,DG-2,W,1,62,23. Sep 20,08:32,Baseline3,Baseline,4.199,Petra_Cort_29.04.21
9,f,5764,DG-2,W,1,62,23. Sep 20,08:56,Separation,Separation,6.842,Petra_Cort_29.04.21
9,f,5764,DG-2,W,1,62,23. Sep 20,09:16,Reunion,Reunion,7.624,Petra Cort 11.05.21
9,f,5952,DG-2,F,1,46,07. Sep 20,08:40,Baseline2,Baseline,4.801,Petra Cort 03.06.21
9,f,5952,DG-2,F,1,48,09. Sep 20,08:38,Baseline2,Baseline,3.431,Petra Cort 03.06.21
9,f,5952,DG-2,F,1,63,24. Sep 20,08:35,Baseline3,Baseline,4.919,Petra Cort 11.05.21
9,f,5952,DG-2,F,1,63,24. Sep 20,09:00,Separation,Separation,9.32,Petra Cort 11.05.21
9,f,5952,DG-2,F,1,63,24. Sep 20,09:20,Reunion,Reunion,6.875,Petra Cort 11.05.21
9,f,6073,DG-3,W,2,62,04. Nov 20,09:12,Baseline3,Baseline,4.239,Petra Cort 14.05.21
9,f,6073,DG-3,W,2,62,04. Nov 20,09:39,Separation,Separation,4.901,Petra Cort 14.05.21
9,f,6073,DG-3,W,2,62,04. Nov 20,09:58,Reunion,Reunion,7.275,Petra Cort 14.05.21
9,f,6073,DG-3,W,1,28,1-Oct-20,08:56,Weaning,Weaning,11.367,Petra_Cort_12.04.21
9,f,6073,DG-3,W,1,36,9-Oct-20,08:49,Baseline1,Baseline,12.92,Petra_Cort_07.04.21
9,f,6188,DG-4,F,2,28,12. Nov 20,09:13,Weaning,Weaning,19.089,Petra_Cort_15.04.21
9,f,6188,DG-4,F,2,35,19. Nov 20,09:47,Play,Play,6.411,Petra_Cort_15.04.21
9,f,6188,DG-4,F,2,36,20. Nov 20,09:36,Baseline1,Baseline,9.976,Petra_Cort_15.04.21
9,f,6188,DG-4,F,2,46,30. Nov 20,11:57,Baseline2,Baseline,6.626,Petra Cort 16.06.21
9,f,6188,DG-4,F,2,60,14-Dec-20,11:10,Baseline3,Baseline,16.547,Petra Cort 27.05.21
9,f,6188,DG-4,F,2,60,14-Dec-20,11:37,Separation,Separation,13.953,Petra Cort 27.05.21
9,f,6188,DG-4,F,2,60,14-Dec-20,11:59,Reunion,Reunion,11.902,Petra Cort 27.05.21
9,f,6235,DG-5,W,1,28,14. Jan 21,08:40,Weaning,Weaning,14.387,Petra_Cort_28.04.21
9,f,6235,DG-5,W,1,35,21. Jan 21,08:48,Play,Play,10.42,Petra_Cort_28.04.21
9,f,6235,DG-5,W,1,36,22. Jan 21,08:41,Baseline1,Baseline,4.91,Petra_Cort_28.04.21
9,f,6235,DG-5,W,1,48,03. Feb 21,08:35,Baseline2,Baseline,4.667,Petra Cort 22.06.21
9,f,6235,DG-5,W,1,49,04. Feb 21,08:32,Baseline2,Baseline,5.134,Petra Cort 22.06.21
9,f,6235,DG-5,W,2,63,18. Feb 21,09:59,Baseline3,Baseline,3.097,Petra.Cort.01.06.21
9,f,6235,DG-5,W,2,63,18. Feb 21,10:25,Separation,Separation,8.843,Petra.Cort.01.06.21
9,f,6235,DG-5,W,2,63,18. Feb 21,10:44,Reunion,Reunion,7.477,Petra.Cort.01.06.21
9,f,6310,DG-4,W,1,28,12. Nov 20,08:52,Weaning,Weaning,16.154,Petra_Cort_16.04.21
9,f,6310,DG-4,W,1,35,19. Nov 20,08:36,Play,Play,11.485,Petra_Cort_15.04.21
9,f,6310,DG-4,W,2,61,15-Dec-20,08:55,Baseline3,Baseline,7.685,Petra Cort 31.05.21
9,f,6310,DG-4,W,2,61,15-Dec-20,09:25,Separation,Separation,7.675,Petra Cort 31.05.21
9,f,6310,DG-4,W,2,61,15-Dec-20,09:47,Reunion,Reunion,7.447,Petra Cort 31.05.21
9,f,6310,DG-4,W,2,47,1-Dec-20,10:45,Baseline2,Baseline,2.727,Petra Cort 21.06.21
9,f,6310,DG-4,W,1,48,2-Dec-20,08:20,Baseline2,Baseline,7.227,Petra Cort 21.06.21
9,f,6310,DG-4,W,1,49,3-Dec-20,08:10,Baseline2,Baseline,5.115,Petra Cort 21.06.21
9,f,6310,DG-4,W,1,50,4-Dec-20,08:15,Baseline2,Baseline,4.472,Petra Cort 21.06.21
9,f,6369,DG-3,F,1,60,02. Nov 20,08:32,Baseline3,Baseline,7.295,Petra Cort 11.05.21
9,f,6369,DG-3,F,1,60,02. Nov 20,08:57,Separation,Separation,28.707,Petra Cort 11.05.21
9,f,6369,DG-3,F,1,60,02. Nov 20,09:20,Reunion,Reunion,9.912,Petra Cort 11.05.21
9,f,6369,DG-3,F,1,46,19-Oct-20,08:47,Baseline2,Baseline,3.44,Petra Cort 11.06.21
9,f,6369,DG-3,F,2,28,1-Oct-20,09:08,Weaning,Weaning,8.518,Petra_Cort_12.04.21
9,f,6369,DG-3,F,2,35,8-Oct-20,09:55,Play,Play,4.364,Petra_Cort_12.04.21
9,f,6369,DG-3,F,2,36,9-Oct-20,09:54,Baseline1,Baseline,5.551,Petra_Cort_12.04.21
9,f,6407,DG-5,F,2,28,14. Jan 21,09:17,Weaning,Weaning,15.693,Petra_Cort_16.04.21
9,f,6407,DG-5,F,2,35,21. Jan 21,09:43,Play,Play,8.857,Petra_Cort_28.04.21
9,f,6407,DG-5,F,2,36,22. Jan 21,09:39,Baseline1,Baseline,12.899,Petra_Cort_16.04.21
9,f,6407,DG-5,F,1,47,02. Feb 21,08:40,Baseline2,Baseline,4.394,Petra Cort 21.06.21
9,f,6407,DG-5,F,1,48,03. Feb 21,08:35,Baseline2,Baseline,3.056,Petra Cort 21.06.21
9,f,6407,DG-5,F,2,49,04. Feb 21,10:25,Baseline2,Baseline,5.252,Petra Cort 21.06.21
9,f,6407,DG-5,F,2,63,18. Feb 21,09:11,Baseline3,Baseline,5.595,Petra.Cort.01.06.21
9,f,6407,DG-5,F,2,63,18. Feb 21,09:39,Separation,Separation,9.754,Petra.Cort.01.06.21
9,f,6407,DG-5,F,2,63,18. Feb 21,09:59,Reunion,Reunion,7.958,Petra.Cort.01.06.21
10,f,6073,DG-3,W,1,63,05. Nov 20,08:25,Baseline3,Baseline,6.912,Petra Cort 14.05.21
10,f,6073,DG-3,W,1,63,05. Nov 20,08:50,Separation,Separation,8.822,Petra Cort 14.05.21
10,f,6073,DG-3,W,1,63,05. Nov 20,09:12,Reunion,Reunion,6.603,Petra Cort 14.05.21
10,f,6073,DG-3,W,1,28,1-Oct-20,08:49,Weaning,Weaning,13.286,Petra_Cort_12.04.21
10,f,6073,DG-3,W,1,49,22-Oct-20,08:25,Baseline2,Baseline,5.538,Petra Cort 15.06.21
10,f,6188,DG-4,F,2,28,12. Nov 20,09:23,Weaning,Weaning,10.81,Petra_Cort_15.04.21
10,f,6188,DG-4,F,2,35,19. Nov 20,09:48,Play,Play,5.617,Petra_Cort_15.04.21
10,f,6188,DG-4,F,2,36,20. Nov 20,09:45,Baseline1,Baseline,12.439,Petra_Cort_15.04.21
10,f,6188,DG-4,F,2,64,18-Dec-20,09:36,Baseline3,Baseline,5.562,Petra Cort 27.05.21
10,f,6188,DG-4,F,2,64,18-Dec-20,10:00,Separation,Separation,17.505,Petra Cort 27.05.21
10,f,6188,DG-4,F,2,64,18-Dec-20,10:19,Reunion,Reunion,10.365,Petra Cort 27.05.21
10,f,6188,DG-4,F,2,50,4-Dec-20,11:35,Baseline2,Baseline,6.598,Petra Cort 16.06.21
10,f,6235,DG-5,W,1,35,21. Jan 21,08:46,Play,Play,14.018,Petra_Cort_28.04.21
10,f,6235,DG-5,W,1,36,22. Jan 21,08:46,Baseline1,Baseline,25.325,Petra_Cort_28.04.21
10,f,6235,DG-5,W,1,47,02. Feb 21,08:30,Baseline2,Baseline,2.899,Petra Cort 12.07.21
10,f,6235,DG-5,W,1,49,04. Feb 21,08:32,Baseline2,Baseline,5.828,Petra Cort 22.06.21
10,f,6235,DG-5,W,1,63,18. Feb 21,08:27,Baseline3,Baseline,4.764,Petra.Cort.01.06.21
10,f,6235,DG-5,W,1,63,18. Feb 21,08:52,Separation,Separation,7.218,Petra.Cort.01.06.21
10,f,6235,DG-5,W,1,63,18. Feb 21,09:11,Reunion,Reunion,7.147,Petra.Cort.01.06.21
10,f,6310,DG-4,W,1,28,12. Nov 20,08:43,Weaning,Weaning,9.069,Petra_Cort_16.04.21
10,f,6310,DG-4,W,1,35,19. Nov 20,09:00,Play,Play,10.484,Petra_Cort_15.04.21
10,f,6310,DG-4,W,1,46,30. Nov 20,08:35,Baseline2,Baseline,7.869,Petra Cort 21.06.21
10,f,6310,DG-4,W,1,60,14-Dec-20,08:48,Baseline3,Baseline,8.125,Petra Cort 31.05.21
10,f,6310,DG-4,W,1,60,14-Dec-20,09:16,Separation,Separation,11.909,Petra Cort 31.05.21
10,f,6310,DG-4,W,1,60,14-Dec-20,09:38,Reunion,Reunion,10.247,Petra Cort 31.05.21
10,f,6369,DG-3,F,2,60,02. Nov 20,10:03,Baseline3,Baseline,8.28,Petra Cort 11.05.21
10,f,6369,DG-3,F,2,60,02. Nov 20,10:28,Separation,Separation,11.898,Petra Cort 11.05.21
10,f,6369,DG-3,F,2,60,02. Nov 20,10:48,Reunion,Reunion,9.928,Petra Cort 11.05.21
10,f,6369,DG-3,F,1,46,19-Oct-20,08:47,Baseline2,Baseline,6.158,Petra Cort 11.06.21
10,f,6369,DG-3,F,2,28,1-Oct-20,09:10,Weaning,Weaning,16.353,Petra_Cort_07.04.21
10,f,6369,DG-3,F,2,35,8-Oct-20,09:47,Play,Play,5.394,Petra_Cort_07.04.21
10,f,6407,DG-5,F,2,28,14. Jan 21,09:13,Weaning,Weaning,10.252,Petra_Cort_16.04.21
10,f,6407,DG-5,F,2,35,21. Jan 21,09:37,Play,Play,7.383,Petra_Cort_16.04.21
10,f,6407,DG-5,F,2,36,22. Jan 21,09:42,Baseline1,Baseline,6.685,Petra_Cort_16.04.21
10,f,6407,DG-5,F,1,46,01. Feb 21,08:38,Baseline2,Baseline,4.572,Petra Cort 22.06.21
10,f,6407,DG-5,F,1,49,04. Feb 21,08:28,Baseline2,Baseline,1.94,Petra Cort 12.07.21
10,f,6407,DG-5,F,2,60,15. Feb 21,10:03,Baseline3,Baseline,5.115,Petra Cort 31.05.21
10,f,6407,DG-5,F,2,60,15. Feb 21,10:27,Separation,Separation,7.236,Petra Cort 31.05.21
10,f,6407,DG-5,F,2,60,15. Feb 21,10:50,Reunion,Reunion,8.205,Petra Cort 31.05.21
